new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 515  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  18  P= 514  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=  40 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 515  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  17 T2=  17  P= 512  D=  80 tn=0 wfr=0 sd=0
 X= 521 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  17  P= 512  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  17  P= 513  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 519 Y2= 518 P1= 809 P2= 408 T1=  17 T2=  18  P= 514  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 809 P2= 408 T1=  17 T2=  16  P= 513  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 409 T1=  17 T2=  17  P= 510  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  17 T2=  17  P= 512  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 520 Y2= 522 P1= 809 P2= 408 T1=  16 T2=  17  P= 513  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  17 T2=  16  P= 511  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 518 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=   5 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 520 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  17  P= 513  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 519 Y2= 518 P1= 808 P2= 408 T1=  16 T2=  17  P= 513  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  16 T2=  17  P= 512  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 516 Y2= 519 P1= 809 P2= 408 T1=  18 T2=  17  P= 513  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 408 T1=  17 T2=  17  P= 512  D=  60 tn=0 wfr=0 sd=0
