./new-calib-3.9: New touch screen calibration program v3.9
Serial Number='131E1E00010B060102C5'
Entering calib_delay
 X= 525 X2= 526  Y= 518 Y2= 517 P1= 809 P2= 403 T1=  18 T2=  19  P= 528  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 403 T1=  14 T2=  18  P= 529  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 517 Y2= 517 P1= 810 P2= 403 T1=  18 T2=  18  P= 529  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 518 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=  30 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 517 Y2= 518 P1= 810 P2= 404 T1=  18 T2=  18  P= 527  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 518 P1= 810 P2= 403 T1=  17 T2=  18  P= 529  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 516 Y2= 517 P1= 809 P2= 403 T1=  18 T2=  17  P= 528  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 523  Y= 519 Y2= 518 P1= 809 P2= 405 T1=  17 T2=  18  P= 522  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 531  Y= 517 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 529  D=  10 tn=0 wfr=0 sd=0
 X= 526 X2= 530  Y= 521 Y2= 517 P1= 809 P2= 404 T1=  17 T2=  18  P= 529  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 517 Y2= 515 P1= 809 P2= 403 T1=  19 T2=  17  P= 528  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 517 Y2= 517 P1= 810 P2= 404 T1=  18 T2=  17  P= 526  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 810 P2= 403 T1=  19 T2=  18  P= 529  D=  40 tn=0 wfr=0 sd=0
